Base de datos,Taxonomia,Material,LLRS,Nivel de Ductilidad,Pisos,IM,theta1,beta1,theta2,beta2,theta3,beta3,theta4,beta4,theta5,beta5
Martins_&_Silva,CR_LFM-DUH_H2,CR,LFM,DUH,2,Sa(0.3s) [g],1.016736929,0.529749999,2.293332906,0.529646752,3.493636161,0.524232277,4.579868632,0.529081764,0,0
Martins_&_Silva,CR_LFM-DUL_H2,CR,LFM,DUL,2,Sa(0.6s) [g],0.286791408,0.507915219,0.646439436,0.507772372,1.003442878,0.503842841,1.337475219,0.506940789,0,0
Martins_&_Silva,CR_LFM-DUM_H2,CR,LFM,DUM,2,Sa(0.3s) [g],0.92582521,0.553900952,1.935740166,0.552416341,2.896014335,0.555387906,3.778100495,0.552479185,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,2,PGA [g],0.062,0.006,0.091,0.008,0.233,0.021,0.581,0.052,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,2,Sa(T) [g] - Telastic = 1,0.1134,0.0478,0.2597,0.1302,0.389,0.1967,0.653,0.3483,0,0
OpenQuake,CR LFINF DUC,CR,LFINF,DUC,2,Sa(T) [g] - Telastic = 0.3,0.8578,0.2843,2.2826,0.8923,3.2473,1.523,6.9004,5.7769,0,0
OpenQuake,CR LFINF DNO,CR,LFINF,DNO,2,Sa(T) [g] - Telastic = 0.3,0.44,0.1481,1.1155,0.4441,1.6584,0.9089,2.8673,1.8942,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,2,Sa(T) [g] - Telastic = 1,0.1934,0.1112,0.5974,0.4648,1.0465,0.8974,1.8008,1.3618,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,2,Sa(T) [g] - Telastic = 1,0.1134,0.0478,0.2597,0.1302,0.389,0.1967,0.653,0.3483,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,2,Sa(T) [g] - Telastic = 1,0.1222,0.0499,0.232,0.1153,0.3059,0.1622,0.4659,0.2573,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,2,Sa(T) [g] - Telastic = 1.04,0,0,0,0,0,0,0.67,0.333,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,2,Sa(T) [g] - Telastic = 0.42,0,0,0,0,0,0,3.36,2.125,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,2,PGA [g],0.09,0.031,0.132,0.063,0.277,0.11,0.368,0.143,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,2,PGA [g],0.09,0.031,0.13,0.06,0.263,0.101,0.35,0.132,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,2,PGA [g],0.09,0.031,0.132,0.063,0.275,0.11,0.542,0.21,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,2,PGA [g],0.09,0.031,0.13,0.06,0.262,0.1,0.517,0.192,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,2,PGA [g],0,0,0.15,0.08,0.27,0.15,0.33,0.17,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,2,PGA [g],0,0,0.2,0.1,0.34,0.19,0.41,0.22,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,2,PGA [g],0,0,0.23,0.12,0.38,0.2,0.46,0.23,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,2,PGA [g],0,0,0.17,0.08,0.28,0.14,0.35,0.18,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,2,PGA [g],0,0,0.18,0.09,0.3,0.15,0.37,0.19,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,2,PGA [g],0,0,0.15,0.08,0.27,0.15,0.33,0.17,0,0
Martins_&_Silva,CR_LDUAL-DUH_H3,CR,LDUAL,DUH,3,Sa(0.3s) [g],0.950288046,0.531246091,2.41138138,0.531251233,3.710139363,0.535055108,4.877661832,0.530452403,0,0
Martins_&_Silva,CR_LDUAL-DUL_H3,CR,LDUAL,DUL,3,Sa(0.3s) [g],0.453944544,0.602388132,1.289064232,0.601648362,2.000139704,0.601604286,2.616284314,0.603342874,0,0
Martins_&_Silva,CR_LDUAL-DUM_H3,CR,LDUAL,DUM,3,Sa(0.3s) [g],0.608540419,0.574841397,1.748935907,0.575046369,2.780687327,0.57500846,3.703326409,0.573574493,0,0
Martins_&_Silva,CR_LFINF-DUH_H3,CR,LFINF,DUH,3,Sa(0.3s) [g],0.717132795,0.563770372,2.093266103,0.561683313,3.271476155,0.563632743,4.309387564,0.560830332,0,0
Martins_&_Silva,CR_LFINF-DUL_H3,CR,LFINF,DUL,3,Sa(0.3s) [g],0.390977573,0.649319247,1.302464563,0.651765775,2.062756499,0.651663771,2.727637952,0.647426624,0,0
Martins_&_Silva,CR_LFINF-DUL_H3_CCA,CR,LFINF,DUL,3,Sa(0.3s) [g],0.442444237,0.655708695,1.487380633,0.655251675,2.371960279,0.65512788,3.149283263,0.65425391,0,0
Martins_&_Silva,CR_LFINF-DUL_H3_SOS,CR,LFINF,DUL,3,Sa(0.3s) [g],0.322145562,0.653967991,0.875243363,0.650794781,1.343761602,0.65062643,1.752582182,0.650303957,0,0
Martins_&_Silva,CR_LFINF-DUM_H3,CR,LFINF,DUM,3,Sa(0.3s) [g],0.527511013,0.636360639,1.669774059,0.63728895,2.660078544,0.637285145,3.538532405,0.63284745,0,0
Martins_&_Silva,CR_LFM-DUH_H3,CR,LFM,DUH,3,Sa(0.6s) [g],0.484056666,0.516235024,1.173636308,0.520833031,1.876469691,0.520559863,2.547124107,0.518974793,0,0
Martins_&_Silva,CR_LFM-DUL_H3,CR,LFM,DUL,3,Sa(1.0s) [g],0.160407981,0.521996695,0.338075448,0.517817257,0.512906468,0.522092083,0.678065465,0.51810287,0,0
Martins_&_Silva,CR_LFM-DUM_H3,CR,LFM,DUM,3,Sa(0.6s) [g],0.448605329,0.496941324,0.986054579,0.49634974,1.53485216,0.498350252,2.055233045,0.498506448,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,3,PGA [g],0.083,0.008,0.128,0.012,0.317,0.029,0.792,0.071,0,0
OpenQuake,CR LFINF DUC,CR,LFINF,DUC,3,Sa(T) [g] - Telastic = 1,0.1381,0.0762,0.4997,0.352,0.8581,0.6022,1.5818,1.0882,0,0
OpenQuake,CR LFINF DNO,CR,LFINF,DNO,3,Sa(T) [g] - Telastic = 1,0.0909,0.0437,0.2278,0.1229,0.3591,0.1854,0.6304,0.3373,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,3,Sa(T) [g] - Telastic = 1,0.2164,0.0987,0.6235,0.3814,0.97,0.6035,1.6533,1.0666,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,3,Sa(T) [g] - Telastic = 1,0.1288,0.0346,0.3045,0.1016,0.4471,0.1755,0.7582,0.362,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,3,Sa(T) [g] - Telastic = 1,0.1428,0.0416,0.2655,0.0858,0.3433,0.1265,0.5194,0.2404,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,3,Sa(T) [g] - Telastic = 0.73,0,0,0,0,0,0,0.63369,0.111,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,3,PGA [g],0,0,0,0,0,0,0.28354,0.08,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,3,Sa(T) [g] - Telastic = 0.73,0,0,0,0,0,0,0.497,0.08,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,3,PGA [g],0,0,0,0,0,0,0.323,0.079,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,3,Sa(T) [g] - Telastic = 0.73,0,0,0,0,0,0,0.562,0.073,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,3,PGA [g],0,0,0,0,0,0,0.091,0.243,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,3,PGA [g],0,0,0.16,0.08,0.29,0.15,0.36,0.19,0,0
Martins_&_Silva,CR_LDUAL-DUH_H4,CR,LDUAL,DUH,4,Sa(0.3s) [g],0.937193853,0.536514215,2.213105426,0.535092613,3.393154781,0.535737605,4.463484277,0.535509357,0,0
Martins_&_Silva,CR_LDUAL-DUL_H4,CR,LDUAL,DUL,4,Sa(0.3s) [g],0.493880777,0.636072534,1.289505602,0.639202359,2.000998676,0.636388727,2.630894305,0.639509024,0,0
Martins_&_Silva,CR_LDUAL-DUM_H4,CR,LDUAL,DUM,4,Sa(0.3s) [g],0.68405578,0.578261859,1.712061,0.577781743,2.633067222,0.575190723,3.462144833,0.578024853,0,0
Martins_&_Silva,CR_LFINF-DUH_H4,CR,LFINF,DUH,4,Sa(0.6s) [g],0.338039124,0.551069714,1.131726999,0.554062215,1.925079959,0.550254222,2.675496144,0.550696708,0,0
Martins_&_Silva,CR_LFINF-DUL_H4,CR,LFINF,DUL,4,Sa(0.6s) [g],0.195464044,0.554808332,0.676680747,0.551709868,1.122263577,0.554867789,1.530621768,0.551882005,0,0
Martins_&_Silva,CR_LFINF-DUL_H4_CCA,CR,LFINF,DUL,4,Sa(0.6s) [g],0.218618189,0.562378326,0.778038892,0.561987973,1.297670926,0.562021655,1.7778786,0.562392132,0,0
Martins_&_Silva,CR_LFINF-DUL_H4_SOS,CR,LFINF,DUL,4,Sa(0.6s) [g],0.15430673,0.536204708,0.428526863,0.532591591,0.686569868,0.533539873,0.921889937,0.537880758,0,0
Martins_&_Silva,CR_LFINF-DUM_H4,CR,LFINF,DUM,4,Sa(0.6s) [g],0.257949659,0.55440566,0.880500157,0.555712376,1.473229615,0.554943127,2.025222546,0.556288904,0,0
Martins_&_Silva,CR_LFM-DUH_H4,CR,LFM,DUH,4,Sa(0.6s) [g],0.532605331,0.5237573,1.227924937,0.521141746,1.928573187,0.523002759,2.589286376,0.526658091,0,0
Martins_&_Silva,CR_LFM-DUL_H4,CR,LFM,DUL,4,Sa(1.0s) [g],0.18094277,0.483676854,0.358517432,0.481454635,0.535155444,0.48430237,0.699508038,0.482577102,0,0
Martins_&_Silva,CR_LFM-DUM_H4,CR,LFM,DUM,4,Sa(0.6s) [g],0.495889851,0.508559633,1.039463885,0.512976593,1.591312772,0.508925154,2.112497494,0.512434422,0,0
OpenQuake,CR LFINF DUC,CR,LFINF,DUC,4,Sa(T) [g] - Telastic = 1,0.1473,0.0724,0.5205,0.3353,0.8902,0.6057,1.6324,1.1521,0,0
OpenQuake,CR LFINF DNO,CR,LFINF,DNO,4,Sa(T) [g] - Telastic = 1,0.0968,0.0363,0.2706,0.1219,0.4137,0.1932,0.7775,0.4598,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,4,Sa(T) [g] - Telastic = 1,0.3001,0.1007,0.6993,0.2527,1.024,0.4313,1.7748,1,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,4,Sa(T) [g] - Telastic = 1,0.1656,0.0494,0.3729,0.1568,0.5466,0.2746,0.9797,0.6339,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,4,Sa(T) [g] - Telastic = 1,0.1908,0.0673,0.3336,0.1478,0.4225,0.2149,0.6203,0.3811,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,4,Sa(T) [g] - Telastic = 1.98,0,0,0,0,0,0,0.317,0.169,0,0
OpenQuake,CR LFM DUC,CR,LFM,DUC,4,Sa(T) [g] - Telastic = 1.12,0,0,0,0,0,0,1.234,0.628,0,0
OpenQuake,CR LFM DNO,CR,LFM,DNO,4,Sa(T) [g] - Telastic = 1.96,0,0,0,0,0,0,0.345,0.14,0,0
